sep=;
"Time";"PM10";"PM2.5";"PM1";"PM 4";"PM TOT"
"2024-06-02T00:00:00+00:00";5;4;3;5;5
"2024-06-02T00:01:00+00:00";5;4;3;5;5
"2024-06-02T00:02:00+00:00";6;5;4;6;6
"2024-06-02T00:03:00+00:00";4;4;3;4;4
"2024-06-02T00:04:00+00:00";5;4;3;5;5
"2024-06-02T00:05:00+00:00";4;4;3;4;4
"2024-06-02T00:06:00+00:00";null;null;null;null;null
"2024-06-02T00:07:00+00:00";4;4;3;4;4
"2024-06-02T00:08:00+00:00";4;4;3;4;4
"2024-06-02T00:09:00+00:00";5;4;3;5;5
"2024-06-02T00:10:00+00:00";5;4;3;5;5
"2024-06-02T00:11:00+00:00";5;4;3;5;5
"2024-06-02T00:12:00+00:00";5;5;3;5;5
"2024-06-02T00:13:00+00:00";5;5;3;5;5
"2024-06-02T00:14:00+00:00";5;4;3;5;5
"2024-06-02T00:15:00+00:00";null;null;null;null;null
"2024-06-02T00:16:00+00:00";4;4;3;4;4
"2024-06-02T00:17:00+00:00";5;5;3;5;5
"2024-06-02T00:18:00+00:00";5;5;3;5;5
"2024-06-02T00:19:00+00:00";6;5;4;5;6
"2024-06-02T00:20:00+00:00";5;5;3;5;5
"2024-06-02T00:21:00+00:00";5;5;3;5;5
"2024-06-02T00:22:00+00:00";4;4;3;4;4
"2024-06-02T00:23:00+00:00";4;4;3;4;4
"2024-06-02T00:24:00+00:00";4;4;3;4;4
"2024-06-02T00:25:00+00:00";null;null;null;null;null
"2024-06-02T00:26:00+00:00";4;4;3;4;4
"2024-06-02T00:27:00+00:00";4;3;2;4;4
"2024-06-02T00:28:00+00:00";3;3;2;3;3
"2024-06-02T00:29:00+00:00";3;3;2;3;3
"2024-06-02T00:30:00+00:00";3;3;2;3;3
"2024-06-02T00:31:00+00:00";3;3;2;3;3
"2024-06-02T00:32:00+00:00";3;3;2;3;3
"2024-06-02T00:33:00+00:00";3;3;2;3;3
"2024-06-02T00:34:00+00:00";3;3;2;3;3
"2024-06-02T00:35:00+00:00";null;null;null;null;null
"2024-06-02T00:36:00+00:00";2;2;2;2;2
"2024-06-02T00:37:00+00:00";3;3;2;3;3
"2024-06-02T00:38:00+00:00";2;2;1;2;2
"2024-06-02T00:39:00+00:00";2;2;2;2;2
"2024-06-02T00:40:00+00:00";3;2;2;3;3
"2024-06-02T00:41:00+00:00";3;3;2;3;3
"2024-06-02T00:42:00+00:00";2;2;1;2;2
"2024-06-02T00:43:00+00:00";3;3;2;3;3
"2024-06-02T00:44:00+00:00";null;null;null;null;null
"2024-06-02T00:45:00+00:00";2;2;1;2;2
