sep=;
"Time";"PM10";"PM2.5";"PM1";"PM 4";"PM TOT"
"2024-03-24T00:00:00+00:00";17;10;8;13;17
"2024-03-24T00:01:00+00:00";20;11;9;14;23
"2024-03-24T00:02:00+00:00";11;8;6;9;11
"2024-03-24T00:03:00+00:00";12;8;6;9;12
"2024-03-24T00:04:00+00:00";11;8;6;9;11
"2024-03-24T00:05:00+00:00";15;9;7;11;15
"2024-03-24T00:06:00+00:00";16;10;7;12;16
"2024-03-24T00:07:00+00:00";21;11;9;14;21
"2024-03-24T00:08:00+00:00";null;null;null;null;null
"2024-03-24T00:09:00+00:00";17;10;8;14;17
"2024-03-24T00:10:00+00:00";20;10;8;13;20
"2024-03-24T00:11:00+00:00";14;8;6;11;15
"2024-03-24T00:12:00+00:00";16;10;7;12;18
"2024-03-24T00:13:00+00:00";16;9;6;11;16
"2024-03-24T00:14:00+00:00";19;10;8;13;19
"2024-03-24T00:15:00+00:00";25;13;10;19;25
"2024-03-24T00:16:00+00:00";26;14;11;20;26
"2024-03-24T00:17:00+00:00";36;19;14;26;36
"2024-03-24T00:18:00+00:00";null;null;null;null;null
"2024-03-24T00:19:00+00:00";35;17;13;24;35
"2024-03-24T00:20:00+00:00";34;18;14;25;34
"2024-03-24T00:21:00+00:00";31;16;12;22;31
"2024-03-24T00:22:00+00:00";32;17;13;23;32
"2024-03-24T00:23:00+00:00";39;18;14;24;41
"2024-03-24T00:24:00+00:00";34;17;13;23;34
"2024-03-24T00:25:00+00:00";38;20;15;27;38
"2024-03-24T00:26:00+00:00";37;18;14;24;37
"2024-03-24T00:27:00+00:00";40;21;16;28;40
"2024-03-24T00:28:00+00:00";null;null;null;null;null
"2024-03-24T00:29:00+00:00";46;23;17;31;50
"2024-03-24T00:30:00+00:00";57;26;20;36;60
"2024-03-24T00:31:00+00:00";53;26;19;38;53
"2024-03-24T00:32:00+00:00";56;26;20;37;56
"2024-03-24T00:33:00+00:00";64;31;24;46;67
"2024-03-24T00:34:00+00:00";73;34;27;50;73
"2024-03-24T00:35:00+00:00";79;36;28;53;79
"2024-03-24T00:36:00+00:00";92;42;32;61;92
"2024-03-24T00:37:00+00:00";null;null;null;null;null
"2024-03-24T00:38:00+00:00";86;40;30;58;88
"2024-03-24T00:39:00+00:00";87;41;31;57;88
"2024-03-24T00:40:00+00:00";94;41;31;61;98
"2024-03-24T00:41:00+00:00";85;40;30;59;85
"2024-03-24T00:42:00+00:00";88;41;31;59;91
"2024-03-24T00:43:00+00:00";99;43;33;62;99
"2024-03-24T00:44:00+00:00";100;44;34;65;100
"2024-03-24T00:45:00+00:00";99;47;36;67;107
"2024-03-24T00:46:00+00:00";102;47;35;70;104
"2024-03-24T00:47:00+00:00";null;null;null;null;null
"2024-03-24T00:48:00+00:00";98;46;35;68;100
"2024-03-24T00:49:00+00:00";112;49;38;72;114
"2024-03-24T00:50:00+00:00";103;49;37;70;105
"2024-03-24T00:51:00+00:00";112;50;38;74;112
"2024-03-24T00:52:00+00:00";121;58;44;86;125
"2024-03-24T00:53:00+00:00";129;60;45;88;131
"2024-03-24T00:54:00+00:00";121;56;42;83;125
"2024-03-24T00:55:00+00:00";116;53;39;81;116
