sep=;
"Time";"PM10";"PM2.5";"PM1";"PM 4";"PM TOT"
"2024-01-17T00:00:00+00:00";5;3;2;4;5
"2024-01-17T00:01:00+00:00";4;3;3;4;4
"2024-01-17T00:02:00+00:00";5;4;3;4;5
"2024-01-17T00:03:00+00:00";5;4;3;4;5
"2024-01-17T00:04:00+00:00";7;4;3;5;7
"2024-01-17T00:05:00+00:00";5;3;3;4;5
"2024-01-17T00:06:00+00:00";6;4;3;4;6
"2024-01-17T00:07:00+00:00";5;4;3;4;5
"2024-01-17T00:08:00+00:00";null;null;null;null;null
"2024-01-17T00:09:00+00:00";3;3;2;3;3
"2024-01-17T00:10:00+00:00";4;3;3;4;4
"2024-01-17T00:11:00+00:00";4;3;3;4;4
"2024-01-17T00:12:00+00:00";4;4;3;4;4
"2024-01-17T00:13:00+00:00";3;3;2;3;3
"2024-01-17T00:14:00+00:00";8;5;4;5;8
"2024-01-17T00:15:00+00:00";8;5;4;6;8
"2024-01-17T00:16:00+00:00";14;7;5;9;14
"2024-01-17T00:17:00+00:00";6;4;3;5;10
"2024-01-17T00:18:00+00:00";null;null;null;null;null
"2024-01-17T00:19:00+00:00";6;4;3;5;6
"2024-01-17T00:20:00+00:00";5;3;3;4;5
"2024-01-17T00:21:00+00:00";7;4;3;4;7
"2024-01-17T00:22:00+00:00";8;5;4;6;8
"2024-01-17T00:23:00+00:00";7;4;3;5;7
"2024-01-17T00:24:00+00:00";7;3;3;4;7
"2024-01-17T00:25:00+00:00";7;4;3;5;7
"2024-01-17T00:26:00+00:00";8;5;4;6;8
"2024-01-17T00:27:00+00:00";4;3;2;4;4
"2024-01-17T00:28:00+00:00";null;null;null;null;null
"2024-01-17T00:29:00+00:00";4;2;2;3;4
"2024-01-17T00:30:00+00:00";3;2;2;3;3
"2024-01-17T00:31:00+00:00";4;2;2;3;4
"2024-01-17T00:32:00+00:00";3;2;2;3;3
"2024-01-17T00:33:00+00:00";4;3;2;4;4
"2024-01-17T00:34:00+00:00";12;7;6;8;24
"2024-01-17T00:35:00+00:00";5;3;3;4;5
"2024-01-17T00:36:00+00:00";3;3;2;3;3
"2024-01-17T00:37:00+00:00";null;null;null;null;null
"2024-01-17T00:38:00+00:00";6;3;3;4;11
"2024-01-17T00:39:00+00:00";5;4;3;4;8
"2024-01-17T00:40:00+00:00";4;3;2;3;4
"2024-01-17T00:41:00+00:00";6;4;3;5;11
"2024-01-17T00:42:00+00:00";6;4;4;5;12
"2024-01-17T00:43:00+00:00";3;3;2;3;3
"2024-01-17T00:44:00+00:00";4;3;2;3;4
"2024-01-17T00:45:00+00:00";5;4;3;4;5
"2024-01-17T00:46:00+00:00";4;3;2;3;4
"2024-01-17T00:47:00+00:00";null;null;null;null;null
"2024-01-17T00:48:00+00:00";3;2;2;3;3
"2024-01-17T00:49:00+00:00";4;3;2;3;4
"2024-01-17T00:50:00+00:00";5;3;2;3;5
"2024-01-17T00:51:00+00:00";9;6;6;7;9
"2024-01-17T00:52:00+00:00";8;4;3;4;8
"2024-01-17T00:53:00+00:00";8;5;4;5;8
"2024-01-17T00:54:00+00:00";9;5;4;6;9
"2024-01-17T00:55:00+00:00";7;5;4;6;7
"2024-01-17T00:56:00+00:00";24;14;11;18;31
"2024-01-17T00:57:00+00:00";null;null;null;null;null
"2024-01-17T00:58:00+00:00";22;12;9;16;23
"2024-01-17T00:59:00+00:00";26;14;10;19;26
"2024-01-17T01:00:00+00:00";39;23;18;30;51
"2024-01-17T01:01:00+00:00";39;22;16;31;39
"2024-01-17T01:02:00+00:00";43;30;25;37;55
"2024-01-17T01:03:00+00:00";35;19;15;24;43
"2024-01-17T01:04:00+00:00";33;18;13;24;40
"2024-01-17T01:05:00+00:00";17;10;8;12;17
"2024-01-17T01:06:00+00:00";36;20;16;26;48
"2024-01-17T01:07:00+00:00";null;null;null;null;null
"2024-01-17T01:08:00+00:00";34;18;13;25;34
"2024-01-17T01:09:00+00:00";16;9;7;12;24
"2024-01-17T01:10:00+00:00";17;12;9;15;23
"2024-01-17T01:11:00+00:00";19;10;7;14;19
"2024-01-17T01:12:00+00:00";11;6;5;8;20
"2024-01-17T01:13:00+00:00";36;14;12;17;62
"2024-01-17T01:14:00+00:00";7;4;3;5;7
"2024-01-17T01:15:00+00:00";5;4;3;4;5
"2024-01-17T01:16:00+00:00";null;null;null;null;null
"2024-01-17T01:17:00+00:00";8;4;4;6;10
"2024-01-17T01:18:00+00:00";9;5;4;6;14
"2024-01-17T01:19:00+00:00";7;4;3;5;7
"2024-01-17T01:20:00+00:00";7;4;3;5;7
"2024-01-17T01:21:00+00:00";6;3;2;4;6
"2024-01-17T01:22:00+00:00";7;4;3;5;7
"2024-01-17T01:23:00+00:00";4;3;2;3;4
"2024-01-17T01:24:00+00:00";7;4;3;5;7
"2024-01-17T01:25:00+00:00";9;7;5;8;18
"2024-01-17T01:26:00+00:00";null;null;null;null;null
"2024-01-17T01:27:00+00:00";15;8;7;10;15
"2024-01-17T01:28:00+00:00";9;7;6;8;10
"2024-01-17T01:29:00+00:00";6;4;3;5;8
"2024-01-17T01:30:00+00:00";5;3;3;4;5
"2024-01-17T01:31:00+00:00";10;5;4;5;23
"2024-01-17T01:32:00+00:00";16;9;7;10;29
"2024-01-17T01:33:00+00:00";12;7;5;9;12
"2024-01-17T01:34:00+00:00";14;7;5;10;14
