sep=;
"Time";"PM10";"PM2.5";"PM1";"PM 4";"PM TOT"
"2024-04-08T00:00:00+00:00";27;10;7;15;30
"2024-04-08T00:01:00+00:00";38;16;13;22;57
"2024-04-08T00:02:00+00:00";24;11;8;15;29
"2024-04-08T00:03:00+00:00";37;15;12;21;73
"2024-04-08T00:04:00+00:00";41;17;14;23;64
"2024-04-08T00:05:00+00:00";26;11;8;16;27
"2024-04-08T00:06:00+00:00";26;10;7;16;29
"2024-04-08T00:07:00+00:00";null;null;null;null;null
"2024-04-08T00:08:00+00:00";43;12;9;18;50
"2024-04-08T00:09:00+00:00";29;12;9;18;35
"2024-04-08T00:10:00+00:00";33;13;9;20;33
"2024-04-08T00:11:00+00:00";35;14;11;22;36
"2024-04-08T00:12:00+00:00";41;16;13;25;61
"2024-04-08T00:13:00+00:00";60;20;15;28;107
"2024-04-08T00:14:00+00:00";21;9;6;14;24
"2024-04-08T00:15:00+00:00";17;6;4;10;17
"2024-04-08T00:16:00+00:00";24;10;7;15;24
"2024-04-08T00:17:00+00:00";null;null;null;null;null
"2024-04-08T00:18:00+00:00";58;25;19;35;83
"2024-04-08T00:19:00+00:00";58;29;22;40;71
"2024-04-08T00:20:00+00:00";35;17;12;24;36
"2024-04-08T00:21:00+00:00";49;26;22;32;57
"2024-04-08T00:22:00+00:00";37;15;11;21;39
"2024-04-08T00:23:00+00:00";26;9;7;14;26
"2024-04-08T00:24:00+00:00";29;11;9;18;36
"2024-04-08T00:25:00+00:00";21;8;5;12;22
"2024-04-08T00:26:00+00:00";null;null;null;null;null
"2024-04-08T00:27:00+00:00";23;9;6;13;25
"2024-04-08T00:28:00+00:00";23;9;6;13;27
"2024-04-08T00:29:00+00:00";27;11;9;16;28
"2024-04-08T00:30:00+00:00";20;7;5;11;23
"2024-04-08T00:31:00+00:00";22;9;8;13;27
"2024-04-08T00:32:00+00:00";12;4;3;6;15
"2024-04-08T00:33:00+00:00";19;8;6;12;19
"2024-04-08T00:34:00+00:00";25;10;8;14;31
"2024-04-08T00:35:00+00:00";52;30;26;38;52
"2024-04-08T00:36:00+00:00";null;null;null;null;null
"2024-04-08T00:37:00+00:00";74;33;25;48;80
"2024-04-08T00:38:00+00:00";73;34;25;49;86
"2024-04-08T00:39:00+00:00";95;42;34;58;119
"2024-04-08T00:40:00+00:00";50;24;18;34;74
"2024-04-08T00:41:00+00:00";50;21;16;31;62
"2024-04-08T00:42:00+00:00";30;14;10;19;46
"2024-04-08T00:43:00+00:00";25;11;8;17;25
"2024-04-08T00:44:00+00:00";39;13;10;19;67
"2024-04-08T00:45:00+00:00";35;17;13;24;36
"2024-04-08T00:46:00+00:00";null;null;null;null;null
"2024-04-08T00:47:00+00:00";28;12;9;19;28
"2024-04-08T00:48:00+00:00";33;14;10;20;33
"2024-04-08T00:49:00+00:00";50;17;12;25;56
"2024-04-08T00:50:00+00:00";49;20;15;29;53
"2024-04-08T00:51:00+00:00";54;25;19;33;62
"2024-04-08T00:52:00+00:00";61;25;20;36;87
"2024-04-08T00:53:00+00:00";46;21;16;30;52
"2024-04-08T00:54:00+00:00";47;22;15;31;52
"2024-04-08T00:55:00+00:00";null;null;null;null;null
"2024-04-08T00:56:00+00:00";49;21;15;30;53
"2024-04-08T00:57:00+00:00";51;21;16;30;65
"2024-04-08T00:58:00+00:00";35;15;10;23;37
"2024-04-08T00:59:00+00:00";38;19;14;26;52
"2024-04-08T01:00:00+00:00";55;23;18;33;64
"2024-04-08T01:01:00+00:00";61;23;16;34;78
"2024-04-08T01:02:00+00:00";66;28;21;39;89
"2024-04-08T01:03:00+00:00";49;22;17;32;53
"2024-04-08T01:04:00+00:00";87;43;36;57;105
"2024-04-08T01:05:00+00:00";null;null;null;null;null
"2024-04-08T01:06:00+00:00";47;21;15;31;47
"2024-04-08T01:07:00+00:00";58;25;17;36;61
"2024-04-08T01:08:00+00:00";56;25;19;36;60
"2024-04-08T01:09:00+00:00";48;23;16;33;48
"2024-04-08T01:10:00+00:00";56;23;16;35;58
"2024-04-08T01:11:00+00:00";61;27;20;39;64
"2024-04-08T01:12:00+00:00";63;27;19;40;65
"2024-04-08T01:13:00+00:00";126;76;67;90;209
"2024-04-08T01:14:00+00:00";67;30;21;44;69
"2024-04-08T01:15:00+00:00";null;null;null;null;null
"2024-04-08T01:16:00+00:00";70;32;24;44;77
"2024-04-08T01:17:00+00:00";73;33;26;47;87
"2024-04-08T01:18:00+00:00";75;31;24;44;95
"2024-04-08T01:19:00+00:00";102;55;47;68;168
"2024-04-08T01:20:00+00:00";69;29;22;42;84
"2024-04-08T01:21:00+00:00";65;27;20;38;73
"2024-04-08T01:22:00+00:00";70;35;27;49;74
"2024-04-08T01:23:00+00:00";68;31;23;44;69
"2024-04-08T01:24:00+00:00";82;33;25;47;112
"2024-04-08T01:25:00+00:00";null;null;null;null;null
"2024-04-08T01:26:00+00:00";69;30;22;43;71
"2024-04-08T01:27:00+00:00";64;27;20;42;73
"2024-04-08T01:28:00+00:00";80;32;24;45;92
"2024-04-08T01:29:00+00:00";87;37;28;51;110
"2024-04-08T01:30:00+00:00";72;34;25;49;89
"2024-04-08T01:31:00+00:00";66;29;21;42;66
"2024-04-08T01:32:00+00:00";74;36;28;48;96
"2024-04-08T01:33:00+00:00";62;30;21;43;65
"2024-04-08T01:34:00+00:00";null;null;null;null;null
"2024-04-08T01:35:00+00:00";59;28;20;39;71
"2024-04-08T01:36:00+00:00";40;17;12;25;46
"2024-04-08T01:37:00+00:00";56;24;18;33;61
"2024-04-08T01:38:00+00:00";60;27;19;39;61
"2024-04-08T01:39:00+00:00";52;24;18;35;57
"2024-04-08T01:40:00+00:00";46;21;16;31;50
"2024-04-08T01:41:00+00:00";39;17;13;24;47
"2024-04-08T01:42:00+00:00";36;16;11;22;42
"2024-04-08T01:43:00+00:00";40;18;14;25;52
"2024-04-08T01:44:00+00:00";null;null;null;null;null
"2024-04-08T01:45:00+00:00";29;14;10;19;30
"2024-04-08T01:46:00+00:00";28;14;11;19;42
"2024-04-08T01:47:00+00:00";22;11;8;16;22
"2024-04-08T01:48:00+00:00";25;11;8;16;30
"2024-04-08T01:49:00+00:00";23;10;8;15;23
"2024-04-08T01:50:00+00:00";20;9;6;12;20
"2024-04-08T01:51:00+00:00";19;9;6;12;19
"2024-04-08T01:52:00+00:00";16;7;5;10;16
"2024-04-08T01:53:00+00:00";18;7;5;11;18
"2024-04-08T01:54:00+00:00";null;null;null;null;null
"2024-04-08T01:55:00+00:00";17;7;4;10;17
"2024-04-08T01:56:00+00:00";19;9;6;13;19
"2024-04-08T01:57:00+00:00";24;10;7;16;26
"2024-04-08T01:58:00+00:00";39;16;11;23;41
"2024-04-08T01:59:00+00:00";43;16;12;25;43
"2024-04-08T02:00:00+00:00";39;18;13;26;41
"2024-04-08T02:01:00+00:00";54;25;18;36;56
"2024-04-08T02:02:00+00:00";80;35;26;49;82
"2024-04-08T02:03:00+00:00";56;28;22;37;72
"2024-04-08T02:04:00+00:00";null;null;null;null;null
"2024-04-08T02:05:00+00:00";34;16;11;23;34
"2024-04-08T02:06:00+00:00";40;17;13;25;46
"2024-04-08T02:07:00+00:00";33;13;9;20;33
"2024-04-08T02:08:00+00:00";34;14;10;20;45
"2024-04-08T02:09:00+00:00";35;16;12;23;61
"2024-04-08T02:10:00+00:00";39;16;12;24;48
"2024-04-08T02:11:00+00:00";31;16;11;22;33
"2024-04-08T02:12:00+00:00";26;13;8;19;28
"2024-04-08T02:13:00+00:00";55;30;26;38;63
"2024-04-08T02:14:00+00:00";null;null;null;null;null
"2024-04-08T02:15:00+00:00";37;17;12;24;43
"2024-04-08T02:16:00+00:00";43;25;21;32;57
"2024-04-08T02:17:00+00:00";38;16;12;23;38
"2024-04-08T02:18:00+00:00";36;17;12;24;37
"2024-04-08T02:19:00+00:00";37;17;12;25;42
"2024-04-08T02:20:00+00:00";39;18;13;26;41
"2024-04-08T02:21:00+00:00";35;15;10;23;35
"2024-04-08T02:22:00+00:00";44;19;14;28;48
"2024-04-08T02:23:00+00:00";43;21;16;30;49
"2024-04-08T02:24:00+00:00";null;null;null;null;null
"2024-04-08T02:25:00+00:00";44;19;14;27;45
"2024-04-08T02:26:00+00:00";45;19;14;29;49
"2024-04-08T02:27:00+00:00";42;18;13;26;42
"2024-04-08T02:28:00+00:00";42;19;13;27;42
