sep=;
"Time";"PM10";"PM2.5";"PM1";"PM 4";"PM TOT"
"2024-01-16T00:00:00+00:00";11;5;4;7;11
"2024-01-16T00:01:00+00:00";10;5;4;6;10
"2024-01-16T00:02:00+00:00";8;4;3;5;8
"2024-01-16T00:03:00+00:00";6;4;3;5;8
"2024-01-16T00:04:00+00:00";6;3;3;4;6
"2024-01-16T00:05:00+00:00";6;3;3;4;6
"2024-01-16T00:06:00+00:00";3;2;2;3;5
"2024-01-16T00:07:00+00:00";3;2;2;3;3
"2024-01-16T00:08:00+00:00";null;null;null;null;null
"2024-01-16T00:09:00+00:00";2;2;2;2;2
"2024-01-16T00:10:00+00:00";4;2;2;3;4
"2024-01-16T00:11:00+00:00";4;2;2;3;4
"2024-01-16T00:12:00+00:00";4;2;2;3;4
"2024-01-16T00:13:00+00:00";4;2;2;3;5
"2024-01-16T00:14:00+00:00";3;3;2;3;3
"2024-01-16T00:15:00+00:00";3;2;2;2;3
"2024-01-16T00:16:00+00:00";3;2;2;2;3
"2024-01-16T00:17:00+00:00";2;2;1;2;2
"2024-01-16T00:18:00+00:00";null;null;null;null;null
"2024-01-16T00:19:00+00:00";3;2;2;2;3
"2024-01-16T00:20:00+00:00";2;2;1;2;2
"2024-01-16T00:21:00+00:00";3;2;2;2;3
"2024-01-16T00:22:00+00:00";3;2;2;3;3
"2024-01-16T00:23:00+00:00";2;2;2;2;2
"2024-01-16T00:24:00+00:00";3;2;2;3;3
"2024-01-16T00:25:00+00:00";4;3;3;4;4
"2024-01-16T00:26:00+00:00";10;5;4;6;10
"2024-01-16T00:27:00+00:00";12;6;5;7;12
"2024-01-16T00:28:00+00:00";null;null;null;null;null
"2024-01-16T00:29:00+00:00";13;7;6;9;17
"2024-01-16T00:30:00+00:00";19;10;9;13;28
"2024-01-16T00:31:00+00:00";17;8;7;12;19
"2024-01-16T00:32:00+00:00";20;10;9;14;22
"2024-01-16T00:33:00+00:00";16;9;7;12;16
"2024-01-16T00:34:00+00:00";12;6;5;8;12
"2024-01-16T00:35:00+00:00";10;6;5;7;10
"2024-01-16T00:36:00+00:00";8;4;4;5;8
"2024-01-16T00:37:00+00:00";null;null;null;null;null
"2024-01-16T00:38:00+00:00";4;3;2;3;4
"2024-01-16T00:39:00+00:00";3;3;2;3;3
"2024-01-16T00:40:00+00:00";4;3;2;3;4
"2024-01-16T00:41:00+00:00";3;2;2;3;3
"2024-01-16T00:42:00+00:00";5;3;2;3;5
"2024-01-16T00:43:00+00:00";6;4;3;4;6
"2024-01-16T00:44:00+00:00";4;3;3;4;4
"2024-01-16T00:45:00+00:00";5;3;3;4;5
"2024-01-16T00:46:00+00:00";3;3;2;3;3
"2024-01-16T00:47:00+00:00";null;null;null;null;null
"2024-01-16T00:48:00+00:00";5;4;3;4;5
"2024-01-16T00:49:00+00:00";14;8;7;9;19
"2024-01-16T00:50:00+00:00";3;3;2;3;3
"2024-01-16T00:51:00+00:00";3;3;2;3;3
"2024-01-16T00:52:00+00:00";4;3;2;3;4
"2024-01-16T00:53:00+00:00";3;3;2;3;3
"2024-01-16T00:54:00+00:00";3;2;2;3;3
"2024-01-16T00:55:00+00:00";3;2;2;3;3
"2024-01-16T00:56:00+00:00";3;3;2;3;3
"2024-01-16T00:57:00+00:00";null;null;null;null;null
"2024-01-16T00:58:00+00:00";3;3;2;3;3
"2024-01-16T00:59:00+00:00";4;3;2;3;4
"2024-01-16T01:00:00+00:00";4;3;2;3;4
"2024-01-16T01:01:00+00:00";4;3;2;3;4
"2024-01-16T01:02:00+00:00";4;3;3;4;4
"2024-01-16T01:03:00+00:00";5;3;3;4;5
"2024-01-16T01:04:00+00:00";3;2;2;3;3
"2024-01-16T01:05:00+00:00";4;3;2;3;5
"2024-01-16T01:06:00+00:00";3;3;2;3;3
"2024-01-16T01:07:00+00:00";null;null;null;null;null
"2024-01-16T01:08:00+00:00";3;2;2;3;3
"2024-01-16T01:09:00+00:00";4;3;2;3;4
"2024-01-16T01:10:00+00:00";3;3;2;3;3
"2024-01-16T01:11:00+00:00";4;4;3;4;4
"2024-01-16T01:12:00+00:00";3;2;2;3;3
"2024-01-16T01:13:00+00:00";3;3;2;3;3
"2024-01-16T01:14:00+00:00";3;3;2;3;3
"2024-01-16T01:15:00+00:00";3;3;2;3;3
"2024-01-16T01:16:00+00:00";null;null;null;null;null
"2024-01-16T01:17:00+00:00";3;3;2;3;3
"2024-01-16T01:18:00+00:00";3;3;2;3;3
"2024-01-16T01:19:00+00:00";3;2;2;2;3
"2024-01-16T01:20:00+00:00";2;2;2;2;2
"2024-01-16T01:21:00+00:00";2;2;2;2;2
"2024-01-16T01:22:00+00:00";3;3;2;3;3
"2024-01-16T01:23:00+00:00";2;2;2;2;2
"2024-01-16T01:24:00+00:00";3;2;2;3;3
"2024-01-16T01:25:00+00:00";3;3;2;3;3
"2024-01-16T01:26:00+00:00";null;null;null;null;null
"2024-01-16T01:27:00+00:00";3;3;2;3;3
"2024-01-16T01:28:00+00:00";3;3;2;3;3
"2024-01-16T01:29:00+00:00";4;3;2;3;4
"2024-01-16T01:30:00+00:00";3;3;2;3;6
"2024-01-16T01:31:00+00:00";3;3;2;3;3
"2024-01-16T01:32:00+00:00";4;3;2;3;4
"2024-01-16T01:33:00+00:00";3;3;2;3;3
"2024-01-16T01:34:00+00:00";3;3;2;3;3
"2024-01-16T01:35:00+00:00";4;3;2;3;6
"2024-01-16T01:36:00+00:00";null;null;null;null;null
"2024-01-16T01:37:00+00:00";4;3;3;3;4
"2024-01-16T01:38:00+00:00";4;3;2;3;4
"2024-01-16T01:39:00+00:00";5;4;3;4;5
"2024-01-16T01:40:00+00:00";4;3;3;4;4
"2024-01-16T01:41:00+00:00";5;3;3;4;5
"2024-01-16T01:42:00+00:00";7;5;4;5;7
"2024-01-16T01:43:00+00:00";6;5;4;6;6
"2024-01-16T01:44:00+00:00";6;4;4;5;15
"2024-01-16T01:45:00+00:00";5;4;3;4;5
"2024-01-16T01:46:00+00:00";null;null;null;null;null
"2024-01-16T01:47:00+00:00";3;3;2;3;3
"2024-01-16T01:48:00+00:00";5;3;3;4;12
"2024-01-16T01:49:00+00:00";4;3;2;3;4
"2024-01-16T01:50:00+00:00";4;2;2;3;4
"2024-01-16T01:51:00+00:00";2;2;2;2;2
"2024-01-16T01:52:00+00:00";3;2;2;3;3
"2024-01-16T01:53:00+00:00";4;3;3;4;4
"2024-01-16T01:54:00+00:00";4;2;2;3;4
"2024-01-16T01:55:00+00:00";4;3;2;3;4
"2024-01-16T01:56:00+00:00";null;null;null;null;null
"2024-01-16T01:57:00+00:00";4;3;2;3;4
"2024-01-16T01:58:00+00:00";4;3;2;3;4
"2024-01-16T01:59:00+00:00";4;3;2;3;4
"2024-01-16T02:00:00+00:00";7;5;5;5;15
"2024-01-16T02:01:00+00:00";3;3;2;3;3
"2024-01-16T02:02:00+00:00";4;3;2;3;4
"2024-01-16T02:03:00+00:00";4;3;3;3;4
"2024-01-16T02:04:00+00:00";4;3;2;3;4
"2024-01-16T02:05:00+00:00";null;null;null;null;null
"2024-01-16T02:06:00+00:00";3;2;2;3;3
"2024-01-16T02:07:00+00:00";3;2;2;2;3
"2024-01-16T02:08:00+00:00";4;3;2;3;4
"2024-01-16T02:09:00+00:00";4;3;2;3;4
"2024-01-16T02:10:00+00:00";4;3;2;3;4
"2024-01-16T02:11:00+00:00";3;2;2;3;3
"2024-01-16T02:12:00+00:00";3;2;2;3;3
"2024-01-16T02:13:00+00:00";6;3;2;3;6
"2024-01-16T02:14:00+00:00";4;3;2;3;4
"2024-01-16T02:15:00+00:00";null;null;null;null;null
"2024-01-16T02:16:00+00:00";3;3;2;3;3
"2024-01-16T02:17:00+00:00";5;3;2;3;5
"2024-01-16T02:18:00+00:00";3;3;2;3;3
