sep=;
"Time";"PM10";"PM2.5";"PM1";"PM 4";"PM TOT"
"2024-01-08T00:00:00+00:00";17;9;6;13;17
"2024-01-08T00:01:00+00:00";19;9;7;12;19
"2024-01-08T00:02:00+00:00";21;11;8;16;21
"2024-01-08T00:03:00+00:00";24;12;10;18;24
"2024-01-08T00:04:00+00:00";22;10;7;14;22
"2024-01-08T00:05:00+00:00";16;8;6;12;16
"2024-01-08T00:06:00+00:00";16;7;6;11;16
"2024-01-08T00:07:00+00:00";19;9;7;12;19
"2024-01-08T00:08:00+00:00";null;null;null;null;null
"2024-01-08T00:09:00+00:00";17;9;7;12;17
"2024-01-08T00:10:00+00:00";14;7;5;10;14
"2024-01-08T00:11:00+00:00";11;5;4;8;11
"2024-01-08T00:12:00+00:00";13;7;5;10;13
"2024-01-08T00:13:00+00:00";12;7;5;10;12
"2024-01-08T00:14:00+00:00";15;8;6;12;15
"2024-01-08T00:15:00+00:00";17;9;7;14;17
"2024-01-08T00:16:00+00:00";19;10;7;16;19
"2024-01-08T00:17:00+00:00";21;10;7;16;21
"2024-01-08T00:18:00+00:00";null;null;null;null;null
"2024-01-08T00:19:00+00:00";18;9;6;14;18
"2024-01-08T00:20:00+00:00";20;11;8;16;20
"2024-01-08T00:21:00+00:00";18;9;7;14;18
"2024-01-08T00:22:00+00:00";21;10;8;15;21
"2024-01-08T00:23:00+00:00";22;11;8;15;22
"2024-01-08T00:24:00+00:00";20;8;6;13;20
"2024-01-08T00:25:00+00:00";16;8;6;12;16
"2024-01-08T00:26:00+00:00";15;7;5;11;15
"2024-01-08T00:27:00+00:00";17;8;6;12;17
"2024-01-08T00:28:00+00:00";null;null;null;null;null
"2024-01-08T00:29:00+00:00";11;6;5;10;11
"2024-01-08T00:30:00+00:00";15;8;6;11;15
"2024-01-08T00:31:00+00:00";15;6;4;10;15
"2024-01-08T00:32:00+00:00";16;8;6;12;16
"2024-01-08T00:33:00+00:00";11;6;4;8;11
"2024-01-08T00:34:00+00:00";14;7;5;11;14
"2024-01-08T00:35:00+00:00";12;7;5;10;12
"2024-01-08T00:36:00+00:00";12;6;4;9;12
"2024-01-08T00:37:00+00:00";13;6;4;9;13
"2024-01-08T00:38:00+00:00";null;null;null;null;null
"2024-01-08T00:39:00+00:00";17;7;5;12;17
"2024-01-08T00:40:00+00:00";22;10;7;15;22
"2024-01-08T00:41:00+00:00";21;11;8;15;21
"2024-01-08T00:42:00+00:00";21;11;8;15;21
"2024-01-08T00:43:00+00:00";14;7;5;10;14
"2024-01-08T00:44:00+00:00";21;9;8;13;21
"2024-01-08T00:45:00+00:00";15;8;6;12;15
"2024-01-08T00:46:00+00:00";23;10;8;15;23
"2024-01-08T00:47:00+00:00";20;10;7;14;20
"2024-01-08T00:48:00+00:00";null;null;null;null;null
"2024-01-08T00:49:00+00:00";19;9;7;13;19
"2024-01-08T00:50:00+00:00";15;8;6;12;15
"2024-01-08T00:51:00+00:00";19;9;7;12;19
"2024-01-08T00:52:00+00:00";17;8;6;12;17
"2024-01-08T00:53:00+00:00";21;11;7;14;21
"2024-01-08T00:54:00+00:00";18;9;7;13;18
"2024-01-08T00:55:00+00:00";17;9;7;12;17
"2024-01-08T00:56:00+00:00";17;8;5;11;17
"2024-01-08T00:57:00+00:00";21;10;7;14;21
"2024-01-08T00:58:00+00:00";null;null;null;null;null
"2024-01-08T00:59:00+00:00";19;8;6;12;19
"2024-01-08T01:00:00+00:00";19;10;7;14;19
"2024-01-08T01:01:00+00:00";13;7;5;10;13
"2024-01-08T01:02:00+00:00";13;6;4;10;13
"2024-01-08T01:03:00+00:00";18;10;7;13;18
"2024-01-08T01:04:00+00:00";20;9;7;13;20
"2024-01-08T01:05:00+00:00";16;8;6;12;16
"2024-01-08T01:06:00+00:00";21;11;8;15;21
"2024-01-08T01:07:00+00:00";null;null;null;null;null
"2024-01-08T01:08:00+00:00";23;12;9;16;23
"2024-01-08T01:09:00+00:00";15;8;6;11;15
"2024-01-08T01:10:00+00:00";15;8;6;12;15
"2024-01-08T01:11:00+00:00";13;7;5;9;13
"2024-01-08T01:12:00+00:00";12;7;5;10;12
"2024-01-08T01:13:00+00:00";13;6;4;9;13
"2024-01-08T01:14:00+00:00";13;7;5;10;13
"2024-01-08T01:15:00+00:00";18;10;7;14;18
"2024-01-08T01:16:00+00:00";16;9;6;13;16
